302485.371	4123766.676
302485.116	4123766.264
302484.902	4123765.873
302484.67	4123765.491
302484.433	4123765.022
302484.18	4123764.584
302483.931	4123764.132
302483.682	4123763.681
302483.424	4123763.234
302483.226	4123762.891
302483.062	4123762.608
302482.899	4123762.324
302482.72	4123762.015
302482.53	4123761.667
302482.369	4123761.348
302482.162	4123761.01
302481.966	4123760.63
302481.779	4123760.326
302481.624	4123760.038
302481.422	4123759.708
302481.248	4123759.386
302481.063	4123759.046
302480.884	4123758.737
302480.721	4123758.453
302480.542	4123758.144
302480.342	4123757.837
302480.123	4123757.597
302479.825	4123757.437
302479.528	4123757.299
302479.273	4123757.195
302478.983	4123757.136
302478.7	4123757.113
302478.438	4123757.116
302478.172	4123757.132
302477.907	4123757.148
302477.614	4123757.156
302477.352	4123757.159
302477.104	4123757.159
302476.835	4123757.157
302476.538	4123757.137
302476.303	4123757.066
302476.074	4123756.947
302475.82	4123756.784
302475.633	4123756.56
302475.496	4123756.378
