302477.483	4123742.06
302477.741	4123742.543
302477.912	4123742.844
302478.156	4123743.288
302478.399	4123743.703
302478.614	4123744.19
302478.857	4123744.605
302479.101	4123745.12
302479.358	4123745.607
302479.602	4123746.051
302479.845	4123746.509
302480.131	4123747.038
302480.489	4123747.683
302480.833	4123748.04
302481.262	4123748.341
302481.849	4123748.384
302482.422	4123748.384
302483.095	4123748.384
302483.696	4123748.384
302484.369	4123748.37
302484.97	4123748.312
302485.614	4123748.298
302486.072	4123748.27
302486.647	4123748.267
