1,302460.314 302462.228 302463.219 302464.280 302465.317 302466.309 302467.346 302468.314 302469.375 302470.827 302471.934 302472.995 302474.170 302475.323 302476.407 302477.306 302478.528 302479.704 302480.741 302481.848 302483.024 302484.153 302485.306 302486.344 302487.358 302488.649 302489.687 302490.724 302491.992 302493.099 302494.275 302495.312 302496.327 302497.549 302498.863 302500.085 302501.399 302502.552 302503.705 302504.996 302506.148 302507.370 302508.339 302509.307 302510.345 302511.221 302512.327 302513.203 302514.356 302515.278 302516.385 302517.584 302518.691 302519.820 302520.950 302522.057 ,4123710.143 4123712.218 4123714.109 4123716.230 4123718.213 4123720.195 4123722.201 4123724.184 4123726.121 4123728.288 4123730.248 4123732.253 4123734.259 4123736.265 4123738.363 4123740.254 4123742.352 4123744.242 4123746.271 4123748.231 4123750.214 4123752.289 4123754.225 4123756.208 4123758.260 4123760.243 4123762.249 4123764.231 4123766.306 4123768.266 4123770.272 4123772.209 4123774.168 4123776.151 4123778.272 4123780.163 4123782.192 4123784.221 4123786.249 4123788.255 4123790.238 4123792.267 4123794.273 4123796.279 4123798.307 4123800.221 4123802.273 4123804.256 4123806.262 4123808.290 4123810.296 4123812.233 4123814.262 4123816.268 4123818.274 4123820.279 ,1,2,40
2,302522.431 302523.227 302524.351 302525.336 302527.360 302529.296 302531.354 302533.394 302535.417 302537.354 302539.377 302541.435 302543.510 302545.360 302547.452 302549.424 302551.308 302553.297 302555.130 302557.326 302559.297 302561.338 302563.499 302565.401 302567.338 302569.326 302571.298 302573.321 302575.154 302576.165 302576.904 302578.111 302579.044 302580.237 302581.309 302582.330 302583.333 302584.405 302585.753 302586.877 302587.811 302588.797 302589.540 302589.852 302589.955 302590.007 302589.679 302589.073 302587.898 302586.791 302585.191 302583.419 302581.448 302579.494 302577.332 302575.292 302573.286 302571.298 302569.274 302567.234 302565.401 302563.774 302561.906 302559.922 302558.554 302557.315 302556.615 302556.654 302556.868 302557.374 302558.327 ,4123821.323 4123823.138 4123825.334 4123827.271 4123828.291 4123829.225 4123829.311 4123828.966 4123828.516 4123827.599 4123826.700 4123826.182 4123825.403 4123824.176 4123823.207 4123822.204 4123821.184 4123820.147 4123819.196 4123817.830 4123816.585 4123815.478 4123815.236 4123815.236 4123815.253 4123815.426 4123815.928 4123816.948 4123818.189 4123819.647 4123821.204 4123823.402 4123825.196 4123827.271 4123829.277 4123831.265 4123833.323 4123835.277 4123837.266 4123839.254 4123841.243 4123843.300 4123845.272 4123847.260 4123849.283 4123851.289 4123853.243 4123855.266 4123857.272 4123859.260 4123860.927 4123862.304 4123863.393 4123864.517 4123865.797 4123866.869 4123868.027 4123869.065 4123870.137 4123871.261 4123872.333 4123873.377 4123874.466 4123876.178 4123878.065 4123879.894 4123881.722 4123883.570 4123885.360 4123887.364 4123889.115 ,2,3,20
3,302559.416 302560.350 302561.361 302562.315 302563.307 302564.377 302565.583 302566.867 302567.975 302569.045 302569.999 302570.932 302571.866 302572.878 302573.909 302574.823 302575.815 302577.021 302577.955 302578.908 302579.900 302580.756 302581.573 302582.585 302583.382 302584.336 302585.250 302585.950 302586.573 302587.429 302588.226 302589.140 302589.841 302590.483 302590.872 302591.475 302592.058 302592.603 302593.167 302593.712 302594.159 302594.412 302594.665 302594.918 302595.132 302595.307 302595.482 302595.618 302595.774 302595.832 302595.968 302596.085 302596.338 302596.688 302597.116 302597.583 302598.089 302598.517 302599.178 302599.665 302599.917 302599.995 302599.995 302599.995 ,4123890.418 4123892.208 4123894.250 4123896.234 4123898.257 4123900.281 4123902.265 4123904.268 4123906.253 4123908.295 4123910.318 4123912.264 4123914.287 4123916.232 4123918.275 4123920.317 4123922.204 4123924.344 4123926.250 4123928.254 4123930.277 4123932.281 4123934.324 4123936.230 4123938.253 4123940.276 4123942.241 4123944.264 4123946.268 4123948.310 4123950.256 4123952.279 4123954.205 4123956.286 4123958.231 4123960.274 4123962.317 4123964.281 4123966.304 4123968.250 4123970.273 4123972.257 4123974.300 4123976.284 4123978.229 4123980.136 4123982.275 4123984.240 4123986.302 4123988.267 4123990.212 4123992.294 4123994.239 4123996.184 4123998.324 4124000.347 4124002.293 4124004.277 4124006.261 4124008.206 4124010.307 4124012.214 4124014.042 4124014.295 ,3,4,70
4,302600.248 302600.443 302600.773 302601.124 302601.143 302601.357 302601.688 302602.038 302602.252 302602.524 302602.699 302602.952 302603.244 302603.244 302603.341 302603.302 302603.302 302603.263 302603.263 302603.283 302603.283 302603.263 302603.361 302603.361 302603.302 302603.263 302603.302 302603.283 302603.283 302603.302 302603.263 302603.302 302603.302 302603.302 302603.263 302603.283 302603.322 302603.302 302603.283 302603.244 302603.283 302603.302 302603.302 302603.283 302603.283 302603.283 302603.302 302603.283 302603.361 302603.322 302603.380 302603.322 302603.380 302603.380 302603.361 302603.361 302603.322 302603.361 302603.361 302603.341 302603.361 302602.894 302602.777 302602.505 302602.427 302602.349 302602.155 302601.765 302601.688 302601.299 302601.299 302601.357 302601.299 302601.279 302601.240 302601.279 302601.279 302601.260 302601.289 302601.279 302601.279 302601.269 302601.318 302601.279 302601.299 302601.250 302601.289 302601.250 302601.192 302601.130 302601.100 302601.091 302601.062 302601.071 302601.062 302601.023 302600.955 302600.916 302600.886 302600.886 302600.818 302600.770 302600.692 302600.585 302600.439 302600.322 302600.245 302600.108 302600.060 302599.933 302599.924 302599.904 302599.933 302599.943 302599.671 302599.632 302599.554 302599.359 302599.165 302598.951 302598.776 302598.601 ,4124015.248 4124017.213 4124019.256 4124021.298 4124023.263 4124025.208 4124027.232 4124029.274 4124031.258 4124033.223 4124035.207 4124037.250 4124039.273 4124041.160 4124043.222 4124045.226 4124047.307 4124049.252 4124051.276 4124053.201 4124055.283 4124057.267 4124059.310 4124061.294 4124063.259 4124065.223 4124067.305 4124069.270 4124071.332 4124073.316 4124075.320 4124077.245 4124079.307 4124081.272 4124083.256 4124085.318 4124087.283 4124089.287 4124091.291 4124093.294 4124095.278 4124097.263 4124099.227 4124101.173 4124103.254 4124105.277 4124107.242 4124109.285 4124111.249 4124113.350 4124115.237 4124117.222 4124119.303 4124121.268 4124123.291 4124125.295 4124127.376 4124129.302 4124131.345 4124133.309 4124135.294 4124137.239 4124139.301 4124141.246 4124143.269 4124145.137 4124147.082 4124149.300 4124151.245 4124153.424 4124155.330 4124157.256 4124159.182 4124161.224 4124163.248 4124165.290 4124167.274 4124169.259 4124171.272 4124173.256 4124175.250 4124177.244 4124179.277 4124181.242 4124183.255 4124185.298 4124187.262 4124189.286 4124192.340 4124194.238 4124196.251 4124198.226 4124200.239 4124202.252 4124204.256 4124206.269 4124208.244 4124210.286 4124212.261 4124214.284 4124216.278 4124218.272 4124220.266 4124222.270 4124224.234 4124226.257 4124228.251 4124230.245 4124232.230 4124234.253 4124236.276 4124238.270 4124240.254 4124242.102 4124244.359 4124246.304 4124248.171 4124250.233 4124252.218 4124254.241 4124256.186 4124258.268 ,4,5,50
5,302598.270 302598.231 302598.095 302598.017 302597.725 302597.492 302597.200 302596.869 302596.364 302595.799 302595.333 302594.749 302594.340 302593.699 302593.212 302592.317 302591.345 302590.275 302589.244 302588.252 302587.240 302586.131 302585.022 302583.311 302581.813 302580.373 302578.661 302577.319 302575.325 302574.314 302572.855 302571.298 302569.606 302568.303 302566.338 302564.344 302562.301 302560.336 302558.313 302556.310 302554.364 302552.283 302550.279 302548.256 302546.291 302544.249 302542.265 302540.222 302538.218 302536.331 302534.308 302532.324 302530.243 302528.278 302526.235 302524.348 302522.325 302520.244 302518.493 302516.898 302515.244 302513.649 302511.976 302510.264 302508.630 302507.424 302506.374 302505.304 302504.273 302503.261 302502.288 302501.335 302500.285 302499.273 302498.339 302497.853 302497.483 302497.308 302496.919 302496.744 302496.511 302496.297 302496.277 302496.219 302496.277 302496.258 302496.277 302496.258 302496.258 302496.297 302496.258 302496.277 302496.258 302496.277 302496.316 302496.238 302496.258 302496.258 302496.277 302496.277 302496.316 302496.297 302496.316 302496.316 302496.297 302496.316 302496.316 302496.336 302496.316 302496.297 302496.258 302496.297 302496.297 302496.316 302496.297 302496.316 302496.355 ,4124260.213 4124262.178 4124264.279 4124266.302 4124268.266 4124270.212 4124272.196 4124274.258 4124276.320 4124278.246 4124280.191 4124282.292 4124284.296 4124286.319 4124288.303 4124290.268 4124292.330 4124294.295 4124296.279 4124298.283 4124300.247 4124302.232 4124304.255 4124305.830 4124307.328 4124308.904 4124310.382 4124312.065 4124313.719 4124315.596 4124317.240 4124318.922 4124320.284 4124321.840 4124323.416 4124324.525 4124325.595 4124326.645 4124327.735 4124328.804 4124329.680 4124330.769 4124331.722 4124332.578 4124333.512 4124334.485 4124335.419 4124336.469 4124337.286 4124337.947 4124338.395 4124339.056 4124339.718 4124340.398 4124341.488 4124342.558 4124343.822 4124344.892 4124345.982 4124347.246 4124348.724 4124350.358 4124352.226 4124354.327 4124355.883 4124357.323 4124359.307 4124361.233 4124363.275 4124365.298 4124367.302 4124369.228 4124371.290 4124373.274 4124375.278 4124377.243 4124379.441 4124381.269 4124383.293 4124385.277 4124387.280 4124389.284 4124391.191 4124393.311 4124395.276 4124397.221 4124399.264 4124401.248 4124403.271 4124405.294 4124407.239 4124409.282 4124411.247 4124413.270 4124415.235 4124417.277 4124419.261 4124421.323 4124423.249 4124425.253 4124427.295 4124429.280 4124431.303 4124433.268 4124435.291 4124437.275 4124439.318 4124441.243 4124443.286 4124445.270 4124447.235 4124449.239 4124451.262 4124453.207 4124455.250 4124457.273 4124459.218 ,5,6,60
6,302496.282 302496.341 302496.730 302497.255 302498.247 302499.336 302500.445 302501.729 302503.110 302504.530 302505.814 302507.273 302508.499 302509.899 302511.164 302512.720 302514.354 302516.338 302518.284 302520.210 302522.388 302524.392 302526.376 302528.419 302530.325 302532.368 302534.352 302536.356 302538.398 302540.324 302542.347 302544.351 302546.355 302548.339 302550.362 302552.336 302554.321 302556.305 302558.367 302560.302 302562.296 302564.300 302566.255 302568.473 302570.282 302572.324 302574.386 302576.390 302578.394 302580.320 302582.265 ,4124461.188 4124463.289 4124465.234 4124467.315 4124469.300 4124470.836 4124472.004 4124473.190 4124474.571 4124476.186 4124477.567 4124479.143 4124480.427 4124481.886 4124483.209 4124484.298 4124485.329 4124486.127 4124486.263 4124486.282 4124486.341 4124486.341 4124486.302 4124486.360 4124486.477 4124486.749 4124487.060 4124487.274 4124487.410 4124487.586 4124487.663 4124487.761 4124487.800 4124487.838 4124487.906 4124487.984 4124488.043 4124488.140 4124488.227 4124488.471 4124488.694 4124488.831 4124489.122 4124489.550 4124489.842 4124490.173 4124490.231 4124490.231 4124490.212 4124490.231 4124490.231 ,6,7,50
7,302584.385 302586.272 302588.276 302590.377 302592.342 302594.326 302596.330 302598.275 302600.356 302602.321 302604.364 302606.348 302608.313 302610.433 302612.378 302614.304 302616.405 302618.438 302620.306 302622.406 302624.430 302626.355 302628.359 302630.402 302632.347 302634.409 302636.121 302637.327 302638.942 302640.303 302641.762 302643.046 302644.155 302645.167 302646.178 302647.248 302648.240 302649.193 302650.010 302650.575 302651.255 302651.878 302652.306 302652.812 302653.259 302653.706 302654.076 302654.329 302654.485 302654.718 302654.913 302655.107 302655.243 302655.379 302655.535 302655.749 302655.885 302656.021 302656.410 302657.033 302657.850 302658.492 302659.017 302659.756 302660.262 302660.749 302660.787 302660.885 302660.924 302660.982 302661.001 302661.060 302661.040 302660.982 302660.982 302660.943 302660.894 302660.865 302660.865 302660.826 302660.865 302660.904 302660.904 302660.962 302660.904 302660.962 302660.885 302660.924 302660.924 302660.885 302660.924 302660.885 302660.924 302660.924 302660.904 302660.962 302660.962 302660.962 302660.982 302660.962 302661.001 302661.021 302661.040 302661.040 302661.079 302661.079 302661.079 302661.138 302661.118 302661.138 302661.157 302661.215 302661.215 302661.215 302661.215 302661.215 302661.215 302661.274 302661.332 302661.429 302661.429 302661.449 302661.459 302661.381 302661.410 302661.429 302661.410 302661.400 302661.429 302661.429 302661.415 302661.444 302661.444 302661.488 302661.473 302661.488 302661.488 302661.488 302661.531 302661.531 302661.561 302661.561 302661.561 302661.561 302661.575 302661.604 302661.619 302661.648 302661.677 302661.721 302661.780 302661.823 302661.896 302661.940 302661.969 302661.984 302661.998 302661.984 302661.998 302662.013 302662.028 302662.042 302662.071 302662.071 302662.100 302662.100 302662.130 302662.144 302662.100 302662.115 302662.100 302662.130 302662.159 302662.144 302662.159 302662.173 302662.188 302662.159 302662.144 302662.144 302662.130 302662.115 302662.144 302662.188 302662.203 302662.203 302662.203 302662.217 302662.232 302662.188 302662.232 302662.290 302662.305 302662.319 302662.290 302662.290 302662.305 302662.319 302662.334 302662.334 302662.334 302662.305 302662.305 302662.305 302662.334 302662.334 302662.334 302662.334 302662.305 302662.290 302662.319 302662.305 302662.349 302662.334 302662.319 302662.319 302662.319 302662.276 302662.319 302662.334 302662.319 302662.334 302662.305 302662.290 302662.290 302662.334 302662.334 302662.334 302662.305 302662.334 302662.334 302662.334 302662.349 302662.319 302662.319 302662.319 302662.334 302662.319 302662.305 302662.305 302662.349 302662.290 302662.334 302662.319 302662.334 302662.305 302662.334 302662.290 302662.334 302662.305 302662.290 302662.297 302662.290 302662.305 302662.327 302662.297 302662.305 302662.312 302662.341 302662.363 302662.392 302662.385 302662.407 302662.407 302662.429 302662.429 302662.327 302662.327 302662.312 302662.341 302662.341 302662.370 302662.356 302662.370 302662.487 302662.691 302662.896 302663.100 302663.275 302663.319 302663.290 302663.304 302663.319 302663.275 302663.319 302663.304 302663.275 302663.333 302663.260 302663.333 302663.275 302663.304 302663.319 302663.348 302663.377 302663.406 302663.435 302663.465 302663.494 302663.538 302663.508 302663.494 302663.523 302663.581 302663.698 302663.786 302663.829 302663.859 302663.844 302663.844 302663.771 302663.742 302663.742 302663.771 302663.756 302663.713 302663.826 302663.793 302663.793 302663.760 302663.694 302663.694 302663.793 302663.809 302663.777 302663.826 302663.875 302663.908 302663.957 302663.990 302664.039 302664.088 302664.121 302664.121 302664.170 302664.187 302664.170 302664.187 302664.220 302664.220 302664.187 302664.170 302664.187 302664.187 302664.203 302664.203 302664.203 302664.187 302664.203 302664.220 302664.252 302664.285 302664.285 302664.318 302664.351 302664.417 302664.532 302664.679 302664.811 302664.811 302664.909 302664.942 302664.975 302664.975 302665.008 302664.942 302664.942 302664.942 302665.008 302665.008 302665.008 302665.040 302665.057 302665.073 302665.139 302665.172 302665.188 302665.221 302665.270 302665.303 302665.319 302665.336 302665.303 302665.369 302665.369 302665.401 302665.270 302665.500 302665.927 302666.353 302667.240 302668.093 302668.848 302669.078 302669.177 302669.045 302668.619 302668.290 302667.962 302667.420 302666.994 302666.436 302666.058 302665.713 302665.270 302664.778 302664.269 302663.268 302662.447 ,4124490.251 4124490.251 4124490.251 4124490.251 4124490.251 4124490.270 4124490.251 4124490.270 4124490.289 4124490.289 4124490.134 4124489.667 4124489.064 4124488.539 4124487.780 4124487.255 4124486.574 4124485.961 4124485.339 4124484.288 4124483.199 4124482.148 4124480.942 4124479.367 4124477.869 4124476.274 4124474.212 4124472.188 4124470.204 4124468.278 4124466.275 4124464.213 4124462.228 4124460.186 4124458.260 4124456.217 4124454.214 4124452.230 4124450.245 4124448.242 4124446.199 4124444.195 4124442.211 4124440.207 4124438.184 4124436.220 4124434.274 4124432.232 4124430.248 4124428.224 4124426.240 4124424.295 4124422.272 4124420.229 4124418.323 4124416.202 4124414.218 4124412.253 4124410.250 4124408.149 4124406.165 4124404.200 4124402.254 4124400.251 4124398.286 4124396.243 4124394.434 4124392.411 4124390.369 4124388.326 4124386.128 4124384.299 4124382.335 4124380.292 4124378.347 4124376.265 4124374.271 4124372.287 4124370.303 4124368.299 4124366.315 4124363.708 4124361.646 4124359.740 4124357.736 4124355.771 4124353.670 4124351.725 4124349.780 4124347.698 4124345.753 4124343.691 4124341.707 4124339.742 4124337.641 4124335.754 4124333.770 4124331.708 4124329.743 4124327.739 4124325.716 4124323.752 4124321.709 4124319.627 4124317.721 4124315.737 4124313.714 4124311.340 4124309.317 4124307.353 4124305.407 4124303.345 4124301.380 4124299.299 4124297.276 4124295.331 4124293.327 4124291.362 4124289.339 4124287.335 4124285.293 4124283.260 4124281.256 4124279.194 4124277.259 4124275.255 4124273.251 4124271.233 4124269.234 4124267.279 4124265.237 4124263.194 4124261.210 4124259.196 4124257.256 4124255.243 4124253.185 4124251.289 4124249.188 4124247.277 4124245.205 4124243.250 4124241.207 4124239.252 4124237.239 4124235.254 4124233.256 4124231.199 4124229.243 4124227.215 4124225.217 4124223.247 4124221.204 4124219.206 4124217.265 4124215.252 4124213.268 4124211.225 4124209.255 4124207.257 4124205.272 4124203.244 4124201.246 4124199.218 4124197.263 4124195.220 4124193.265 4124191.208 4124189.238 4124187.239 4124185.255 4124183.242 4124181.258 4124179.230 4124177.216 4124175.261 4124173.262 4124171.249 4124169.265 4124167.280 4124165.238 4124163.181 4124161.240 4124159.227 4124157.214 4124155.273 4124153.260 4124151.202 4124149.233 4124147.176 4124145.235 4124143.266 4124141.281 4124139.268 4124137.240 4124135.241 4124133.242 4124131.244 4124129.230 4124127.231 4124125.247 4124123.248 4124121.264 4124119.236 4124117.223 4124115.282 4124113.211 4124111.197 4124109.228 4124107.243 4124105.230 4124103.217 4124101.203 4124099.263 4124097.249 4124095.251 4124093.237 4124091.267 4124089.269 4124087.226 4124085.198 4124083.199 4124081.230 4124079.231 4124077.217 4124075.204 4124073.249 4124071.236 4124069.266 4124067.253 4124065.225 4124063.182 4124061.256 4124059.287 4124057.229 4124055.260 4124053.290 4124051.248 4124049.220 4124047.235 4124045.237 4124043.238 4124041.268 4124039.240 4124037.227 4124035.243 4124033.244 4124031.260 4124029.290 4124027.218 4124025.234 4124023.228 4124021.244 4124019.259 4124017.246 4124015.240 4124013.256 4124011.242 4124009.229 4124007.237 4124005.246 4124003.247 4124001.277 4123999.293 4123997.251 4123995.259 4123993.122 4123991.167 4123989.168 4123987.184 4123985.287 4123983.186 4123981.319 4123979.247 4123977.219 4123975.278 4123973.221 4123971.252 4123969.209 4123967.225 4123965.284 4123963.256 4123961.258 4123959.244 4123957.231 4123955.144 4123953.262 4123951.234 4123949.265 4123947.251 4123945.223 4123943.254 4123941.226 4123939.212 4123937.228 4123935.200 4123933.245 4123931.232 4123929.291 4123927.249 4123925.206 4123923.222 4123921.223 4123919.268 4123917.240 4123915.219 4123913.323 4123911.207 4123909.267 4123907.253 4123905.152 4123903.212 4123901.242 4123899.214 4123897.216 4123895.217 4123893.106 4123891.202 4123889.265 4123887.230 4123885.162 4123883.159 4123881.239 4123879.203 4123877.201 4123875.281 4123873.229 4123871.243 4123869.175 4123867.271 4123865.236 4123863.282 4123861.231 4123859.261 4123857.259 4123855.207 4123853.254 4123851.284 4123849.232 4123847.230 4123845.227 4123843.225 4123841.190 4123839.220 4123837.234 4123835.232 4123833.229 4123831.276 4123829.191 4123827.238 4123825.219 4123823.266 4123821.231 4123819.278 4123817.242 4123815.289 4123813.188 4123811.120 4123809.052 4123807.279 4123805.178 4123803.176 4123801.173 4123799.138 4123797.201 4123795.199 4123793.131 4123791.227 4123789.224 4123787.206 4123785.219 4123783.283 4123781.264 4123779.261 4123777.226 4123775.224 4123773.238 4123771.219 4123769.298 4123767.247 4123765.261 4123763.373 4123761.141 4123759.204 4123757.202 4123755.101 4123753.262 4123751.063 4123749.126 4123747.255 4123745.187 4123743.152 4123741.379 4123739.245 4123737.177 4123735.109 4123733.172 4123731.219 4123729.233 4123727.181 4123725.244 4123723.275 4123721.223 4123719.286 4123717.169 4123715.216 4123713.197 4123711.178 4123709.208 ,7,8,100
8,302661.692 302661.052 302660.239 302659.353 302658.221 302657.285 302656.300 302655.463 302654.601 302653.444 302652.361 302651.573 302650.564 302649.554 302648.249 302646.452 302645.086 302643.534 302641.983 302640.543 302638.844 302637.121 302635.274 302633.329 302631.187 302629.365 302627.347 302625.303 302623.235 302621.290 302619.345 302617.375 302615.369 302613.399 302611.430 302609.361 302607.367 302605.545 302603.305 302601.298 302599.230 302597.310 302595.217 302593.198 302591.266 302589.321 302587.191 302585.270 302583.252 302581.282 302579.238 302577.244 302575.324 302573.280 302571.360 302569.292 302567.396 302565.279 302563.309 302561.266 302559.345 302557.302 302555.332 302553.215 302551.294 302549.300 302547.257 302545.287 302543.293 302541.249 302539.354 302537.310 302535.291 302533.322 302531.303 302529.284 302527.240 302525.295 302523.289 302521.307 302519.313 302517.355 302515.312 302513.293 302511.323 302509.329 302507.409 302505.242 302503.297 302501.204 302499.382 302497.265 302495.246 302493.277 302491.405 302489.337 302487.294 302485.324 302483.281 302481.311 302479.342 302477.249 302475.255 302473.260 302471.291 302469.223 302467.204 302465.308 302463.264 302461.270 302459.301 302457.257 302455.361 302453.293 302451.914 302450.265 302448.615 302447.310 302445.710 302444.381 302443.223 302442.263 302441.303 302440.343 302439.506 302438.940 302438.447 302438.127 302437.462 302437.142 302436.674 302436.330 302436.133 302436.133 302436.084 302436.157 302436.182 302436.256 302436.453 302436.305 302436.034 302435.640 302434.754 302433.769 ,4123707.222 4123705.253 4123703.234 4123701.215 4123699.196 4123697.202 4123695.183 4123693.213 4123691.244 4123689.077 4123687.034 4123685.236 4123683.267 4123681.248 4123679.229 4123677.333 4123675.696 4123673.788 4123672.237 4123670.649 4123668.802 4123667.263 4123665.565 4123664.235 4123662.536 4123661.404 4123659.927 4123658.499 4123656.972 4123655.717 4123654.486 4123653.230 4123651.974 4123650.916 4123649.808 4123648.774 4123647.666 4123646.730 4123645.499 4123644.293 4123643.234 4123642.274 4123641.240 4123640.181 4123639.098 4123637.941 4123636.734 4123635.602 4123634.494 4123633.460 4123632.376 4123631.318 4123630.185 4123629.200 4123628.240 4123627.231 4123626.271 4123625.261 4123624.153 4123622.971 4123621.740 4123620.583 4123619.500 4123618.269 4123616.915 4123615.807 4123614.773 4123613.813 4123612.951 4123611.892 4123611.006 4123609.849 4123608.766 4123607.658 4123606.550 4123605.319 4123604.211 4123603.263 4123602.241 4123601.256 4123600.284 4123599.262 4123598.327 4123597.539 4123597.046 4123596.628 4123596.086 4123595.791 4123595.668 4123595.471 4123595.224 4123594.978 4123594.904 4123594.830 4123594.855 4123594.880 4123595.126 4123595.618 4123596.086 4123596.775 4123597.342 4123598.179 4123599.164 4123599.976 4123600.764 4123601.749 4123602.783 4123603.718 4123604.679 4123605.836 4123607.288 4123608.839 4123610.341 4123611.966 4123614.157 4123616.324 4123618.318 4123620.239 4123622.381 4123624.252 4123626.271 4123628.363 4123630.333 4123632.278 4123634.321 4123636.291 4123638.236 4123640.230 4123642.274 4123644.219 4123646.238 4123648.306 4123650.300 4123652.245 4123654.338 4123656.357 4123658.277 4123660.222 4123662.241 4123664.284 4123666.205 4123668.273 4123670.243 4123672.261 ,8,9,100
9,302432.324 302430.342 302428.359 302427.206 302427.740 302429.832 302431.729 302433.695 302435.607 302437.213 302438.550 302439.872 302441.700 302443.445 302444.521 302446.159 302447.323 302448.874 302450.231 302451.394 302452.641 302453.666 302454.718 302455.826 302456.851 302457.876 302458.956 ,4123674.088 4123675.306 4123676.620 4123678.257 4123680.223 4123681.248 4123682.245 4123683.228 4123684.295 4123685.306 4123686.742 4123688.297 4123690.236 4123691.870 4123693.220 4123695.277 4123697.188 4123699.238 4123701.287 4123703.281 4123705.276 4123707.215 4123709.237 4123711.175 4123713.197 4123715.275 4123717.352 ,9,10,100
