1,302464.399,4123718.692
2,302497.961,4123778.842
3,302508.566,4123797.627
4,302518.757,4123816.522
5,302534.162,4123843.637
6,302545.721,4123864.716
7,302557.362,4123885.144
8,302596.476,4123989.638
9,302600.888,4124013.122
10,302596.779,4124094.971
11,302579.203,4124128.147
12,302555.754,4124127.687
13,302561.339,4124119.591
14,302579.353,4124119.473
15,302589.103,4124104.171
16,302589.776,4124020.502
17,302589.114,4123988.867
18,302554.075,4123895.043
19,302533.699,4123853.611
20,302518.509,4123826.297
21,302504.798,4123802.199
22,302493.377,4123781.281
23,302459.993,4123721.049
